Timestamp_Sec,DateTime_UTC,Network,NetworkID,Protocol,ArbID_Hex,ArbID_Dec,Is_Extended,Is_Tx,Is_Error,DLC,Data_Hex,B0,B1,B2,B3,B4,B5,B6,B7
607201147.895743,2026-03-29 18:59:07.895743,HSCAN3,44,CAN,0x023,35,0,0,0,8,81 00 00 00 00 00 00 00,0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201147.895935,2026-03-29 18:59:07.895935,HSCAN3,44,CAN,0x024,36,0,0,0,5,81 00 00 00 00,0x81,0x00,0x00,0x00,0x00,,,
607201147.896087,2026-03-29 18:59:07.896087,HSCAN3,44,CAN,0x040,64,0,0,0,3,02 79 E0,0x02,0x79,0xE0,,,,,
607201147.896307,2026-03-29 18:59:07.896307,HSCAN3,44,CAN,0x041,65,0,0,0,7,81 00 F4 07 B6 03 00,0x81,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201147.896460,2026-03-29 18:59:07.896460,HSCAN3,44,CAN,0x030,48,0,0,0,3,81 79 E0,0x81,0x79,0xE0,,,,,
607201147.896680,2026-03-29 18:59:07.896680,HSCAN3,44,CAN,0x031,49,0,0,0,7,81 00 B6 FF F1 20 00,0x81,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.896914,2026-03-29 18:59:07.896914,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201147.897067,2026-03-29 18:59:07.897067,HSCAN3,44,CAN,0x030,48,0,0,0,3,81 79 E0,0x81,0x79,0xE0,,,,,
607201147.897287,2026-03-29 18:59:07.897287,HSCAN3,44,CAN,0x031,49,0,0,0,7,81 00 B6 FF F1 20 00,0x81,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.897407,2026-03-29 18:59:07.897407,HSCAN3,44,CAN,0x011,17,0,0,0,1,90,0x90,,,,,,,
607201147.897527,2026-03-29 18:59:07.897527,HSCAN3,44,CAN,0x010,16,0,0,0,1,90,0x90,,,,,,,
607201147.995481,2026-03-29 18:59:07.995481,HSCAN3,44,CAN,0x020,32,0,0,0,3,C1 87 F0,0xC1,0x87,0xF0,,,,,
607201147.995875,2026-03-29 18:59:07.995875,HSCAN3,44,CAN,0x021,33,0,0,0,8,C1 10 9D 05 20 00 00 40,0xC1,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.996087,2026-03-29 18:59:07.996087,HSCAN3,44,CAN,0x022,34,0,0,0,5,C1 10 00 22 00,0xC1,0x10,0x00,0x22,0x00,,,
